"X","file_name","id","source_org","source_file","original_id","type","name","address","city","state","zip_code","county","location_description","phone","url","latitude","longitude","latlng_source","date_from","date_to","SNAP","WIC","FMNP","fresh_produce","food_bucks","free_distribution","open_to_spec_group","data_issues","group_by_cluster","group_id","fuzzy_group_within_cluster","merged_record"
313,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","314","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","44581","","Upna Bazaar","2880 Banksville Road","Pittsburgh","PA",15216,"ALLEGHENY","","","",40.403854,-80.040253,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",313,NA,NA,"0"
314,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","315","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","44621","","The Avenue","1614 Penn Avenue","Pittsburgh","PA",15221,"ALLEGHENY","","","",40.442871,-79.86721,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",NA,NA,NA,"0"
315,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","316","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","45215","","P&w Mini Mart 1","410 Scenery Drive","Elizabeth","PA",15037,"ALLEGHENY","","","",40.277,-79.837448,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",315,NA,NA,"0"
316,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","317","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","45291","","Oak Hill Market","504 Oak Hill Drive","Pittsburgh","PA",15213,"ALLEGHENY","","","",40.44149,-79.969978,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",316,NA,NA,"0"
317,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","318","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","45608","convenience store","Sheetz 515","4599 Library Road","Bethel Park","PA",15102,"ALLEGHENY","","","",40.351242,-80.023338,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",NA,NA,NA,"0"
318,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","319","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","46347","convenience store","Jimit Sunoco","2904 Fifth Avenue","McKeesport","PA",15132,"ALLEGHENY","","","",40.358593,-79.831512,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",NA,NA,NA,"0"
319,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","320","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","46589","convenience store","Cogo's 1493","620 Lincoln Avenue","Bellevue","PA",15202,"ALLEGHENY","","","",40.497433,-80.059196,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",319,NA,NA,"0"
320,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","321","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","46635","","Squids Coffee Shop","607 Grant Avenue","Duquesne","PA",15110,"ALLEGHENY","","","",40.372093,-79.851341,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",320,NA,NA,"0"
321,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","322","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","46667","convenience store","Cogos 1780","3402 Main Street","Homestead","PA",15120,"ALLEGHENY","","","",40.386551,-79.90274,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",NA,NA,NA,"0"
322,"food-data/Cleaned_data_files//cleaned_PA_SNAP.csv","323","USDA Food and Nutrition Service","SNAP_Store_Locations.csv","46683","supermarket","Whole Foods Market 10377","10576 Perry Highway","Wexford","PA",15090,"ALLEGHENY","","","",40.612068,-80.054199,"4","","",1,NA,NA,NA,NA,0,"0","no type;no phone;no date/time info",NA,NA,NA,"0"
