file_name,idField,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude
food-data/Cleaned_data_files//cleaned_agh_wic.csv,100,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,2890876,supermarket,Wal Mart,2010 Village Center Drive,Tarentum,PA,15084,,,,,40.564095,-79.804145
food-data/Cleaned_data_files//cleaned_agh_wic.csv,101,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,3153451,supermarket,Wal Mart,2351 Century Drive,West Mifflin,PA,15122,,,,,40.342403,-79.94663
food-data/Cleaned_data_files//cleaned_growpgh.csv,102,Western Pennsylvania Regional Data Center,growpghgardens201712_readin.xlsx,584,Grow PGH Garden,Angora Gardens,3 Muse Lane,White Oak,PA,15131,,,,https://www.growpittsburgh.org/directory/garden/angora-gardens-1,40.404686,-79.862095
food-data/Cleaned_data_files//cleaned_growpgh.csv,103,Western Pennsylvania Regional Data Center,growpghgardens201712_readin.xlsx,586,Grow PGH Garden,Everybody's Garden,301 West Elizabeth Street,Pittsburgh,PA,15207,,,,https://www.growpittsburgh.org/directory/garden/everybodys-garden,40.406546,-79.945442
food-data/Cleaned_data_files//cleaned_growpgh.csv,104,Western Pennsylvania Regional Data Center,growpghgardens201712_readin.xlsx,587,Grow PGH Garden,EvGard Extension,5108 Lytle Street,Pittsburgh,PA,15207,,,,https://www.growpittsburgh.org/directory/garden/evgard-extension,40.406377,-79.945559
food-data/Cleaned_data_files//cleaned_growpgh.csv,105,Western Pennsylvania Regional Data Center,growpghgardens201712_readin.xlsx,588,Grow PGH Garden,Glen Hazel Communiuty Garden,Johnston Avenue At Roselle Drive,Pittsburgh,PA,15207,,,,https://www.growpittsburgh.org/directory/garden/glen-hazel-communiuty-garden,40.40604,-79.931253
food-data/Cleaned_data_files//cleaned_growpgh.csv,106,Western Pennsylvania Regional Data Center,growpghgardens201712_readin.xlsx,589,Grow PGH Garden,Grow Pittsburgh,6587 Hamilton Avenue #2w,Pittsburgh,PA,15206,,,,https://www.growpittsburgh.org/directory/garden/grow-pittsburgh,40.458481,-79.911381
food-data/Cleaned_data_files//cleaned_growpgh.csv,107,Western Pennsylvania Regional Data Center,growpghgardens201712_readin.xlsx,590,Grow PGH Garden,Lawrenceville Organic Community Garden,Allegheny Cemetery, 4734 Butler Street,PA,15201,,,,https://www.growpittsburgh.org/directory/garden/lawrenceville-organic-community-garden,40.477158,-79.956114
food-data/Cleaned_data_files//cleaned_growpgh.csv,108,Western Pennsylvania Regional Data Center,growpghgardens201712_readin.xlsx,591,Grow PGH Garden,Masjid al Mu'min Madinah Garden,159 Winslow Street,Pittsburgh,PA,15206,,,,https://www.growpittsburgh.org/directory/garden/masjid-al-mumin-madinah-garden,40.46445,-79.911651
food-data/Cleaned_data_files//cleaned_growpgh.csv,109,Western Pennsylvania Regional Data Center,growpghgardens201712_readin.xlsx,592,Grow PGH Garden,South Oakland Community Orchard,3213 Parkview Avenue,Pittsburgh,PA,15213,,,,https://www.growpittsburgh.org/directory/garden/south-oakland-community-orchard,40.429834,-79.953578
food-data/Cleaned_data_files//cleaned_growpgh.csv,111,Western Pennsylvania Regional Data Center,growpghgardens201712_readin.xlsx,594,Grow PGH Garden,Wiggins Garden,Near 3026 Wiggins Street,Pittsburgh,PA,15219,,,,https://www.growpittsburgh.org/directory/garden/wiggins-garden,40.457618,-79.969499
food-data/Cleaned_data_files//cleaned_growpgh.csv,112,Western Pennsylvania Regional Data Center,growpghgardens201712_readin.xlsx,663,Grow PGH Garden,The Samuel and Anna Mae Richardson Community Garden,5427 Willow Street,Bethel Park,PA,15102,,,,https://www.growpittsburgh.org/directory/garden/the-samuel-and-anna-mae-richardson-community-garden,40.323229,-80.0405
food-data/Cleaned_data_files//cleaned_growpgh.csv,113,Western Pennsylvania Regional Data Center,growpghgardens201712_readin.xlsx,664,Grow PGH Garden,Coraopolis Community Garden,411 Broadway Avenue,Coraopolis,PA,15108,,,,https://www.growpittsburgh.org/directory/garden/coraopolis-community-garden,40.516753,-80.160618
food-data/Cleaned_data_files//cleaned_growpgh.csv,114,Western Pennsylvania Regional Data Center,growpghgardens201712_readin.xlsx,665,Grow PGH Garden,Crafton Community Farm,117 West Steuben Street,Crafton,PA,15205,,,,https://www.growpittsburgh.org/directory/garden/crafton-community-farm,40.438964,-80.072817
food-data/Cleaned_data_files//cleaned_growpgh.csv,115,Western Pennsylvania Regional Data Center,growpghgardens201712_readin.xlsx,666,Grow PGH Garden,Community Human Services Teaching Garden,370 Lawn Street,Pittsburgh,PA,15213,,,,https://www.growpittsburgh.org/directory/garden/community-human-services-teaching-garden,40.433691,-79.961356
food-data/Cleaned_data_files//cleaned_growpgh.csv,116,Western Pennsylvania Regional Data Center,growpghgardens201712_readin.xlsx,667,Grow PGH Garden,Landslide Community Farm,3 Beelen Street,Pittsburgh,PA,15213,,,,https://www.growpittsburgh.org/directory/garden/landslide-community-farm,40.43816,-79.97244
food-data/Cleaned_data_files//cleaned_growpgh.csv,117,Western Pennsylvania Regional Data Center,growpghgardens201712_readin.xlsx,668,Grow PGH Garden,Rosalinda Sauro Sirianni Memorial Garden,119 Davis Avenue,Bellevue,PA,15202,,,,https://www.growpittsburgh.org/directory/garden/rosalinda-sauro-sirianni-memorial-garden,40.48879,-80.049169
food-data/Cleaned_data_files//cleaned_growpgh.csv,118,Western Pennsylvania Regional Data Center,growpghgardens201712_readin.xlsx,669,Grow PGH Garden,Second UP Garden,300 Hay Street,Pittsburgh,PA,15221,,,,https://www.growpittsburgh.org/directory/garden/second-up-garden,40.438825,-79.888431
food-data/Cleaned_data_files//cleaned_growpgh.csv,119,Western Pennsylvania Regional Data Center,growpghgardens201712_readin.xlsx,670,Grow PGH Garden,Earl Brooks Community Garden,222 Robinson Street,Pittsburgh,PA,15213,,,,https://www.growpittsburgh.org/directory/garden/earl-brooks-community-garden,40.441165,-79.965404
food-data/Cleaned_data_files//cleaned_growpgh.csv,121,Western Pennsylvania Regional Data Center,growpghgardens201712_readin.xlsx,672,Grow PGH Garden,Ballfield Farm,Crispen Street,Pittsburgh,PA,15214,,,,https://www.growpittsburgh.org/directory/garden/ballfield-farm,40.46849,-80.016561
food-data/Cleaned_data_files//cleaned_growpgh.csv,122,Western Pennsylvania Regional Data Center,growpghgardens201712_readin.xlsx,673,Grow PGH Garden,Boxy Caufield Memorial Garden: Allegheny YMCA,600 West North Avenue,Pittsburgh,PA,15212,,,,https://www.growpittsburgh.org/directory/garden/boxy-caufield-memorial-garden-allegheny-ymca,40.454624,-80.012922
food-data/Cleaned_data_files//cleaned_growpgh.csv,123,Western Pennsylvania Regional Data Center,growpghgardens201712_readin.xlsx,674,Grow PGH Garden,Hazelwood YMCA Community Garden,4713 Chatsworth Avenue,Pittsburgh,PA,15207,,,,https://www.growpittsburgh.org/directory/garden/hazelwood-ymca-community-garden,40.413082,-79.944132
food-data/Cleaned_data_files//cleaned_growpgh.csv,124,Western Pennsylvania Regional Data Center,growpghgardens201712_readin.xlsx,675,Grow PGH Garden,Miss Mary's Garden: Homewood Brushton YMCA,7140 Bennett Street,Pittsburgh,PA,15208,,,,https://www.growpittsburgh.org/directory/garden/miss-marys-garden-homewood-brushton-ymca,40.456529,-79.898291
