id,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude,latlng_source,date_from,date_to,SNAP,WIC,FMNP,fresh_produce,food_bucks,free_distribution,open_to_spec_group,data_issues
NA,USDA,PA.xlsx,NA,NA,TARGET STORES 2077,288 Mt Nebo Pointe Rd,Pittsburgh,PA,15237,ALLEGHENY,NA,NA,NA,40.535103,-80.067467,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Mish Farms Meat Market Inc.,80 Oak Rd,Gibsonia,PA,15044,ALLEGHENY,NA,NA,NA,40.622093,-79.900826,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Heidelberg Shop N Save,2100 Washington Pike,Carnegie,PA,15106,ALLEGHENY,NA,NA,NA,40.386105,-80.092674,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,New Youngs Oriental Market,5813 Forward Ave,Pittsburgh,PA,15217,ALLEGHENY,NA,NA,NA,40.429745,-79.923035,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,HAPPY MINI MART,512 E Pittsburgh McKeesport Blvd,N Versailles,PA,15137,ALLEGHENY,NA,NA,NA,40.36937,-79.830437,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,European Mkt and Grill,4140 Saw Mill Run Blvd,Pittsburgh,PA,15227,ALLEGHENY,NA,NA,NA,40.366405,-79.984512,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Getgo 3106,408 Penn Ave,Wilkinsburg,PA,15221,ALLEGHENY,NA,NA,NA,40.44521,-79.889519,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,CVS PHARMACY INC 4369,4610 Centre Ave,Pittsburgh,PA,15213,ALLEGHENY,NA,NA,NA,40.451984,-79.951614,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Dollar General 10426,995 Greensburg Pike,E Pittsburgh,PA,15112,ALLEGHENY,NA,NA,NA,40.416763,-79.839432,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,CoGo's 811,314 Scenery Dr,Elizabeth,PA,15037,ALLEGHENY,NA,NA,NA,40.277592,-79.837364,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,CoGo's 820,2880 Brownsville Rd,South Park,PA,15129,ALLEGHENY,NA,NA,NA,40.289303,-79.996994,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,CoGo's 329,1050 Brinton Rd,Pittsburgh,PA,15221,ALLEGHENY,NA,NA,NA,40.426346,-79.871681,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,WALGREENS 09674,133 W 8th Ave,Homestead,PA,15120,ALLEGHENY,NA,NA,NA,40.405575,-79.912804,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,WALGREENS 09281,5956 Penn Cir S Ste 1,Pittsburgh,PA,15206,ALLEGHENY,NA,NA,NA,40.459324,-79.926811,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,R&M VARIETY STORE,1739 Pennsylvania Ave,West Mifflin,PA,15122,ALLEGHENY,NA,NA,NA,40.362057,-79.861015,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Walgreens 9675,6201 Saltsburg Rd,Pittsburgh,PA,15235,ALLEGHENY,NA,NA,NA,40.48502,-79.817833,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,DOLLAR TREE 0228,1360 Park Manor Blvd,Pittsburgh,PA,15205,ALLEGHENY,NA,NA,NA,40.451958,-80.163704,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Olympia Shop N Save,4313 Walnut St,McKeesport,PA,15132,ALLEGHENY,NA,NA,NA,40.321171,-79.836456,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Aldi 56,2348 Ardmore Blvd,Pittsburgh,PA,15221,ALLEGHENY,NA,NA,NA,40.416534,-79.848167,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Quick Stop,3349 Liberty Ave,Pittsburgh,PA,15201,ALLEGHENY,NA,NA,NA,40.461678,-79.966484,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Trader Joe's 638,6343 Penn Ave,Pittsburgh,PA,15206,ALLEGHENY,NA,NA,NA,40.458904,-79.919426,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Target 2201,4801 McKnight Rd Ste 3,Pittsburgh,PA,15237,ALLEGHENY,NA,NA,NA,40.528229,-80.007042,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Gordon Food Service Store LLC,510 Clairton Blvd,Pittsburgh,PA,15236,ALLEGHENY,NA,NA,NA,40.333809,-79.946472,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Gordon Food Service Store LLC,3620 William Penn Hwy,Monroeville,PA,15146,ALLEGHENY,NA,NA,NA,40.432182,-79.801254,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,RITE AID 3412,1800 Morningside Ave,Pittsburgh,PA,15206,ALLEGHENY,NA,NA,NA,40.486668,-79.926949,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Wilkinsburg Save A Lot,725 Ross Ave,Wilkinsburg,PA,15221,ALLEGHENY,NA,NA,NA,40.442696,-79.88443,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
