id,facility_name,num,street,city,state,zip,municipal,category_cd,description,p_code,fdo,bus_st_date,seat_count,noroom,sq_feet,status,placard_st,x,y,address
1865,Haymaker Swim & Racquet Club Snack Bar,106,Penn Lear  Drive,Monroeville,PA,15146,Monroeville,777,Seasonal/Pool Snack Bar,1,1/1/74,1/1/74,0,,0,1,1,-79.76047097,40.4003051,106 Penn Lear  Drive Monroeville PA 15146
1869,Windwood Park /  Pool Snack Bar,903,Lake Road,Bradfordwoods,PA,15015,Marshall,777,Seasonal/Pool Snack Bar,1,6/17/84,6/17/84,0,,0,1,1,-80.0900111,40.62822774,903 Lake Road Bradfordwoods PA 15015
1872,Community Swim Club Pool Snack Bar,100,Aqua Drive,Pittsburgh,PA,15238,O'Hara,777,Seasonal/Pool Snack Bar,0,1/1/60,1/1/60,0,,0,1,1,-79.85831612,40.51489812,100 Aqua Drive Pittsburgh PA 15238
1877,GNC #29,208,Monroeville Mall,Monroeville,PA,15146,Monroeville,116,Chain Packaged Food Only,2,1/1/74,1/1/74,0,,1800,1,1,,,208 Monroeville Mall Monroeville PA 15146
1878,Giant Eagle #17,6320,Shakespeare St,Pittsburgh,PA,15206,Pittsburgh-107,112,Chain Supermarket,1,6/17/84,6/17/84,0,,43354,1,1,-79.92075519,40.45866942,6320 Shakespeare St Pittsburgh PA 15206
1880,Giant Eagle #38,1901,Murray Avenue,Pittsburgh,PA,15217,Pittsburgh-114,112,Chain Supermarket,1,3/1/62,3/1/62,0,,31000,1,1,-79.92256064,40.43566448,1901 Murray Avenue Pittsburgh PA 15217
1881,Giant Eagle #63,4250,Murray Ave,Pittsburgh,PA,15217,Pittsburgh-115,112,Chain Supermarket,1,1/1/84,1/1/84,0,,30448,1,1,-79.92942319,40.42225286,4250 Murray Ave Pittsburgh PA 15217
1919,Rite Aid Pharmacies #272,209,Atwood St,Pittsburgh,PA,15213,Pittsburgh-104,116,Chain Packaged Food Only,2,6/17/84,6/17/84,0,,1000,1,1,-79.95704672,40.44091562,209 Atwood St Pittsburgh PA 15213
1980,CVS / Pharmacy #4103,355,Lincoln Ave,Pittsburgh,PA,15202,Bellevue,116,Chain Packaged Food Only,2,6/17/84,6/17/84,0,,1000,1,1,-80.05246629,40.49349681,355 Lincoln Ave Pittsburgh PA 15202
2050,Giant Eagle #65,4110,Brighton Road,Pittsburgh,PA,15212,Ross,112,Chain Supermarket,1,6/17/84,6/17/84,0,,24030,1,1,-80.04346602,40.48926327,4110 Brighton Road Pittsburgh PA 15212
2051,Giant Eagle #45,9805,McKnight Rd,Pittsburgh,PA,15237,McCandless,112,Chain Supermarket,0,6/17/84,6/17/84,0,,68794,1,1,-80.03666255,40.58541549,9805 McKnight Rd Pittsburgh PA 15237
2068,Co Go's #321,2733,South Park Road,Bethel Park,PA,15102,Bethel Park,114,Chain Retail/Convenience Store,1,6/17/84,6/17/84,0,,2200,1,1,,,2733 South Park Road Bethel Park PA 15102
2098,CVS / Pharmacy #4051,1801,Washington Road,Pittsburgh,PA,15241,Upper St Clair,116,Chain Packaged Food Only,2,6/17/84,6/17/84,0,,500,7,1,-80.05534937,40.34650573,1801 Washington Road Pittsburgh PA 15241
2099,CVS / Pharmacy #4144,3075,West Liberty Avenue,Pittsburgh,PA,15216,Dormont,116,Chain Packaged Food Only,2,6/17/84,6/17/84,0,,2501,1,1,,,3075 West Liberty Avenue Pittsburgh PA 15216
2151,Rite Aid Pharmacies #269,230,Hays Ave,Pittsburgh,PA,15210,Mt Oliver,116,Chain Packaged Food Only,2,6/17/84,6/17/84,0,,276,1,1,-79.98752514,40.4145127,230 Hays Ave Pittsburgh PA 15210
2154,Giant Eagle #0004,5055,Library  Road,Bethel Park,PA,15102,Bethel Park,112,Chain Supermarket,1,6/17/84,6/17/84,0,,67047,1,1,-80.02547812,40.33892364,5055 Library  Road Bethel Park PA 15102
2170,GNC KK006,,South Hills Village,Bethel Park,PA,15102,Bethel Park,116,Chain Packaged Food Only,2,6/17/84,6/17/84,0,,1555,1,1,,,South Hills Village Bethel Park PA 15102
2204,CVS / Pharmacy #4070,10600,Frankstown Rd,Pittsburgh,PA,15235,Penn Hills,116,Chain Packaged Food Only,2,1/1/80,1/1/80,0,,2000,1,1,-79.84217261,40.45992827,10600 Frankstown Rd Pittsburgh PA 15235
2206,CVS / Pharmacy #4120,610,Wood Street,Pittsburgh,PA,15222,Pittsburgh-102,116,Chain Packaged Food Only,2,6/17/84,6/17/84,0,,850,7,1,-79.99889438,40.44238514,610 Wood Street Pittsburgh PA 15222
2207,CVS / Pharmacy #4008,242,5th Avenue,Pittsburgh,PA,15222,Pittsburgh-102,116,Chain Packaged Food Only,2,1/1/80,1/1/80,0,,1000,1,1,-80.00101805,40.44079126,242 5th Avenue Pittsburgh PA 15222
