id,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude,latlng_source,date_from,date_to,SNAP,WIC,FMNP,fresh_produce,food_bucks,free_distribution,open_to_spec_group,data_issues
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSUM2448-1,food bank site,Summit Retirement Residence NM,125 S. 6th. St.,Duquesne,PA,15110,Allegheny,,,,40.3700123,-79.8498256,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSUN2481-1,food bank site,Sunset Hills Presbyterian United Church,900 Country Club Dr.,Pittsburgh,PA,15228,Allegheny,,,,40.3760871,-80.0279512,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSWE2262-1,food bank site,Sweetbriar Place Apartments,211 Sweetbriar St.,Pittsburgh,PA,15211,Allegheny,,,,40.4378532,-80.0215067,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSWI2380-1,food bank site,Swissvale Community Food Pantry,2028 Noble Street,Swissvale,PA,15218,Allegheny,,,,40.4209233,-79.8860542,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSWI2380-2,food bank site,Swissvale Community Food Pantry - Swissvale Towers,1826 Monongahela Avenue,Swissvale,PA,15218,Allegheny,,,,40.4219771,-79.8908568,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSWI2380-3,food bank site,Swissvale Community Food Pantry's Fresh Market,2028 Noble Street,Swissvale,PA,15218,Allegheny,,,,40.4209233,-79.8860542,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PSWI2254-1,food bank site,Swissvale Towers,1826 Monongahela Ave.,Pittsburgh,PA,15218,Allegheny,,,,40.4219771,-79.8908568,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PTEE1376-1,food bank site,Teen Challenge of Western Pennsylvania,220 Challenge Lane,Cheswick,PA,15024,Allegheny,,,,40.5708209,-79.8299003,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PTHE2255-1,food bank site,The Allegheny at West Commons,401 W. Commons,Pittsburgh,PA,15212,Allegheny,,,,40.4504709,-80.0077699,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PTHE2256-1,food bank site,The Avenue Apartments,325 Braddock Ave.,Braddock,PA,15104,Allegheny,,,,40.4052815,-79.8714658,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PTHE2125-1,food bank site,The Church In The Round,744 Griffith Street,Aliquippa,PA,15001,Beaver,,,,40.6216367,-80.2596071,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PTHE2522-1,food bank site,The Father's Heart Ministries,2401 Riverview Avenue,McKeesport,PA,15132,Allegheny,,,,40.33798,-79.8481237,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PTHE2416-1,food bank site,The Learning Lamp,2025 Bedford Street,Johnstown,PA,15904,Cambria,,,,40.2995029,-78.8824051,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PTHE2233-1,food bank site,The Pneuma Center,704 Sherwood Ave.,Pittsburgh,PA,15204,Allegheny,,,,40.4550963,-80.0560611,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PTHO2323-1,food bank site,Thomas Bishop NM,1023 6th Avenue,New Brighton,PA,15066,Beaver,,,,40.7339752,-80.309856,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
